Feature_002,Feature_003,Feature_004,Feature_005,Feature_006,Feature_007,Feature_008,Feature_009,Feature_010,Feature_011,Feature_012,Feature_013,Feature_014,Feature_015,Feature_016,Feature_017,Feature_018,Feature_019,Feature_020,Feature_023,Feature_024,Feature_025,Feature_026,Feature_028,Feature_029,Feature_030,Feature_031,Feature_001__time_bucket,Feature_021,Feature_022,Feature_027,Feature_001__hour,Missing_Count,Feature_022_is_outlier
Wednesday,18-30,Male,Junior high school,Employee,1-2yr,__MISSING__,Owner,__MISSING__,No defect,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,Going straight,Passenger,Female,Over 51,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,morning,2.0,1.0,3.0,8.0,4.0,0.0
Thursday,Over 51,Male,High school,Owner,2-5yr,Other,Owner,Above 10yr,__MISSING__,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,Over 51,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,evening,3.0,2.0,3.0,18.0,1.0,0.0
Friday,18-30,Male,Junior high school,Employee,2-5yr,__MISSING__,Owner,__MISSING__,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,afternoon,1.0,2.0,3.0,15.0,2.0,0.0
Friday,31-50,Male,Elementary school,Employee,5-10yr,__MISSING__,Governmental,__MISSING__,No defect,Office areas,other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Passenger,Female,Over 51,Driver,Normal,Not a Pedestrian,Other,afternoon,2.0,4.0,3.0,13.0,2.0,1.0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,__MISSING__,Owner,2-5yrs,__MISSING__,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Stopping,Pedestrian,Male,18-30,Driver,Normal,Unknown or other,Changing lane to the left,morning,2.0,2.0,3.0,9.0,2.0,0.0
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Passenger,Female,Over 51,Student,Normal,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,3.0,18.0,2.0,0.0
Saturday,18-30,Male,Above high school,Employee,5-10yr,Automobile,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,evening,2.0,1.0,3.0,21.0,3.0,0.0
Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Overturning,afternoon,2.0,1.0,2.0,17.0,0.0,0.0
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,Overspeed,afternoon,3.0,4.0,3.0,12.0,1.0,1.0
Friday,31-50,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,__MISSING__,No defect,Industrial areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver or rider,Female,31-50,Driver,Normal,Not a Pedestrian,No priority to vehicle,evening,2.0,3.0,3.0,19.0,2.0,0.0
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,afternoon,2.0,1.0,,13.0,6.0,0.0
Thursday,18-30,Male,High school,Owner,2-5yr,Long lorry,Owner,__MISSING__,No defect,Office areas,__MISSING__,Tangent road with flat terrain,__MISSING__,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,Going straight,Pedestrian,Female,Under 18,Driver,Normal,Crossing from driver's nearside,Getting off the vehicle improperly,morning,2.0,2.0,3.0,11.0,3.0,0.0
Monday,31-50,Male,__MISSING__,__MISSING__,__MISSING__,Lorry (11?40Q),Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Over 51,Driver,Normal,Not a Pedestrian,Other,morning,2.0,1.0,3.0,8.0,5.0,0.0
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,Motorcycle,Owner,2-5yrs,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,31-50,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,morning,2.0,2.0,3.0,10.0,3.0,0.0
Friday,18-30,Male,Junior high school,Owner,5-10yr,Other,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,No priority to pedestrian,morning,2.0,1.0,3.0,7.0,1.0,0.0
Saturday,Under 18,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Turnover,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,evening,1.0,1.0,,23.0,5.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,__MISSING__,__MISSING__,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Over 51,Driver,Normal,Not a Pedestrian,Driving to the left,afternoon,3.0,1.0,3.0,12.0,2.0,0.0
Friday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,morning,1.0,2.0,3.0,10.0,2.0,0.0
Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,__MISSING__,__MISSING__,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,No priority to vehicle,afternoon,3.0,2.0,,14.0,8.0,0.0
Tuesday,__MISSING__,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Pedestrian,Male,31-50,__MISSING__,__MISSING__,"Walking along in carriageway, facing traffic",Driving carelessly,evening,1.0,1.0,3.0,20.0,4.0,0.0
Tuesday,31-50,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the left,morning,2.0,1.0,3.0,8.0,0.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,__MISSING__,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Other,morning,6.0,2.0,,9.0,5.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,U-Turn,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Other,morning,2.0,1.0,3.0,8.0,3.0,0.0
Thursday,31-50,Male,__MISSING__,Employee,__MISSING__,Ridden horse,Owner,__MISSING__,__MISSING__,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driver or rider,Male,Over 51,Driver,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,3.0,17.0,4.0,0.0
Monday,18-30,Male,Junior high school,Employee,2-5yr,__MISSING__,Owner,2-5yrs,__MISSING__,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,,7.0,6.0,0.0
Sunday,__MISSING__,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Other,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,3.0,13.0,2.0,0.0
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,3.0,13.0,0.0,0.0
Wednesday,31-50,Male,Elementary school,Other,5-10yr,Other,Owner,__MISSING__,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,evening,3.0,3.0,3.0,19.0,1.0,0.0
Tuesday,31-50,Male,__MISSING__,Owner,5-10yr,Automobile,Governmental,__MISSING__,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Normal,Not a Pedestrian,Driving carelessly,afternoon,2.0,1.0,,13.0,7.0,0.0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Below 1yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,,9.0,5.0,0.0
Wednesday,31-50,Male,__MISSING__,__MISSING__,__MISSING__,Public (12 seats),Owner,2-5yrs,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,,14.0,8.0,0.0
Monday,__MISSING__,Male,Junior high school,Owner,Below 1yr,Other,Owner,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Other,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,evening,2.0,2.0,3.0,20.0,3.0,0.0
Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs,__MISSING__,Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver or rider,Male,Under 18,Self-employed,Normal,Not a Pedestrian,No distancing,morning,2.0,3.0,2.0,8.0,1.0,0.0
Tuesday,Over 51,Male,Illiterate,Employee,2-5yr,Lorry (11?40Q),Governmental,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Turnover,Pedestrian,Male,31-50,Driver,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,3.0,9.0,1.0,0.0
Friday,Over 51,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,1.0,2.0,,15.0,4.0,0.0
Friday,31-50,Male,High school,Employee,Above 10yr,Automobile,Organization,5-10yrs,No defect,Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,Changing lane to the right,morning,2.0,1.0,3.0,6.0,0.0,0.0
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to pedestrian,night,2.0,1.0,3.0,0.0,1.0,0.0
Thursday,__MISSING__,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,18-30,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,afternoon,2.0,1.0,3.0,16.0,1.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Overtaking,afternoon,2.0,1.0,,13.0,4.0,0.0
Friday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,1.0,1.0,,14.0,4.0,0.0
Monday,18-30,Male,Junior high school,Owner,1-2yr,Lorry (41?100Q),Owner,__MISSING__,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,2.0,1.0,3.0,15.0,2.0,0.0
Monday,18-30,Male,Elementary school,Owner,5-10yr,Stationwagen,Owner,5-10yrs,__MISSING__,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,31-50,__MISSING__,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,1.0,8.0,2.0,0.0
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,__MISSING__,Going straight,Passenger,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,3.0,1.0,3.0,17.0,1.0,0.0
Wednesday,31-50,Male,Junior high school,Employee,No Licence,Automobile,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,__MISSING__,Going straight,Driver or rider,Female,31-50,Driver,Normal,Not a Pedestrian,Other,afternoon,2.0,1.0,3.0,17.0,1.0,0.0
Friday,18-30,Male,High school,Employee,2-5yr,__MISSING__,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,,16.0,6.0,0.0
Saturday,18-30,Male,__MISSING__,Owner,5-10yr,Other,Owner,5-10yrs,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,__MISSING__,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,__MISSING__,evening,3.0,2.0,2.0,20.0,4.0,0.0
Tuesday,18-30,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Passenger,Female,Over 51,Other,Normal,Not a Pedestrian,Changing lane to the left,night,2.0,1.0,3.0,1.0,1.0,0.0
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Overtaking,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Overturning,morning,3.0,2.0,,7.0,4.0,0.0
Monday,Over 51,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,__MISSING__,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Employee,Normal,Not a Pedestrian,Driving under the influence of drugs,afternoon,3.0,1.0,,16.0,6.0,0.0
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,__MISSING__,__MISSING__,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,__MISSING__,__MISSING__,__MISSING__,Employee,Normal,Not a Pedestrian,Moving Backward,morning,2.0,1.0,,7.0,6.0,0.0
